itemKey,name,type,registry,catalogPresent,catalogGroup,compositionMode,childCount,placement,rotation,moveSnap,color,image,light,glass,fabric,capabilities,bomOk,bomError,persistence,renderer,factoryOk,contractProfile,definition,placeable,gaps
PLASTIC_TRASH_BIN,Çöp Kutusu,plastic-trash-bin,COMMERCIAL_ITEMS,true,Extra,,1,free,90,10,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,true,,project.modules[] factory state + placement,createIndoorPlantModule (type dalı plastic-trash-bin),true,free-model-fixed,docs/items/definitions/PLASTIC_TRASH_BIN.md,true,
furniture_sofa_set_classic,Koltuk Takımı,sofa-set-classic,FURNITURE_ITEMS,true,Extra,,0,free,90,10,evet,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: furniture_sofa_set_classic.,project.modules[] factory state + placement,createBeigeSofaSetModule,true,free-model-color,docs/items/definitions/furniture_sofa_set_classic.md,true,BOM hata
furniture_sofa_single_classic,Tekli Koltuk,sofa-single-classic,FURNITURE_ITEMS,true,Extra,,0,free,45,10,evet,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: furniture_sofa_single_classic.,project.modules[] factory state + placement,createSofaSingleClassicModule,true,free-model-color,docs/items/definitions/furniture_sofa_single_classic.md,true,BOM hata
furniture_sofa_double_classic,Çiftli Koltuk,sofa-double-classic,FURNITURE_ITEMS,true,Extra,,0,free,90,10,evet,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: furniture_sofa_double_classic.,project.modules[] factory state + placement,createSofaDoubleClassicModule,true,free-model-color,docs/items/definitions/furniture_sofa_double_classic.md,true,BOM hata
furniture_coffee_table_classic,Sehpa,coffee-table-classic,FURNITURE_ITEMS,true,Extra,,0,free,90,10,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: furniture_coffee_table_classic.,project.modules[] factory state + placement,createCoffeeTableClassicModule,true,free-model-fixed,docs/items/definitions/furniture_coffee_table_classic.md,true,BOM hata
furniture_table_chair_set_eames,Eames Masa Sandalye Takımı,table-chair-set-eames,FURNITURE_ITEMS,true,Extra,,0,free,90,10,evet,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: furniture_table_chair_set_eames.,project.modules[] factory state + placement,createEamesTableChairSetModule,true,free-model-color,docs/items/definitions/furniture_table_chair_set_eames.md,true,BOM hata
chair_eames,Eames Sandalye,chair,FURNITURE_ITEMS,true,Extra,,0,free,90,10,evet,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: chair_eames.,project.modules[] factory state + placement,createEamesChairModule,true,free-model-color,docs/items/definitions/chair_eames.md,true,BOM hata
glass_table,Cam Masa,table-glass,FURNITURE_ITEMS,true,Extra,,0,free,90,10,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: glass_table.,project.modules[] factory state + placement,createGlassTableModule,true,free-model-fixed,docs/items/definitions/glass_table.md,true,BOM hata
furniture_bar_stool_classic,Bar Taburesi,bar-stool,FURNITURE_ITEMS,true,Extra,,0,free,45,10,evet,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: furniture_bar_stool_classic.,project.modules[] factory state + placement,createBarStoolModule,true,free-model-color,docs/items/definitions/furniture_bar_stool_classic.md,true,BOM hata
EXTRA_INDOOR_PLANT_1,Yapay Çiçek 1,indoor-plant-1,INDOOR_PLANT_ITEMS,true,Extra,,0,free,90,10,hayır,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: EXTRA_INDOOR_PLANT_1.,project.modules[] factory state + placement,createIndoorPlantModule,true,free-model-fixed,docs/items/definitions/EXTRA_INDOOR_PLANT_1.md,true,BOM hata
EXTRA_LONG_PLANTER_100,Uzun Saksı 100,indoor-plant-1,INDOOR_PLANT_ITEMS,true,Extra,,0,free,90,10,evet,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: EXTRA_LONG_PLANTER_100.,project.modules[] factory state + placement,createIndoorPlantModule,true,free-model-color,docs/items/definitions/EXTRA_LONG_PLANTER_100.md,true,BOM hata
EXTRA_LONG_PLANTER_150,Uzun Saksı 150,indoor-plant-1,INDOOR_PLANT_ITEMS,true,Extra,,0,free,90,10,evet,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: EXTRA_LONG_PLANTER_150.,project.modules[] factory state + placement,createIndoorPlantModule,true,free-model-color,docs/items/definitions/EXTRA_LONG_PLANTER_150.md,true,BOM hata
EXTRA_LONG_PLANTER_200,Uzun Saksı 200,indoor-plant-1,INDOOR_PLANT_ITEMS,true,Extra,,0,free,90,10,evet,hayır,hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: EXTRA_LONG_PLANTER_200.,project.modules[] factory state + placement,createIndoorPlantModule,true,free-model-color,docs/items/definitions/EXTRA_LONG_PLANTER_200.md,true,BOM hata
TV_42,"TV 42""",tv,WALL_MEDIA_ITEMS,true,Elektronik & Aydınlatma,,0,wall-overlay,90,10,hayır,hayır (kullanıcı atamaz),hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: TV_42.,project.modules[] factory state + placement,createTvModule,true,wall-media,docs/items/definitions/TV_42.md,true,BOM hata
TV_55,"TV 55""",tv,WALL_MEDIA_ITEMS,true,Elektronik & Aydınlatma,,0,wall-overlay,90,10,hayır,hayır (kullanıcı atamaz),hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: TV_55.,project.modules[] factory state + placement,createTvModule,true,wall-media,docs/items/definitions/TV_55.md,true,BOM hata
TV_65,"TV 65""",tv,WALL_MEDIA_ITEMS,true,Elektronik & Aydınlatma,,0,wall-overlay,90,10,hayır,hayır (kullanıcı atamaz),hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: TV_65.,project.modules[] factory state + placement,createTvModule,true,wall-media,docs/items/definitions/TV_65.md,true,BOM hata
VIDEO_WALL_2X2,Video Wall 2×2,tv,WALL_MEDIA_ITEMS,true,Elektronik & Aydınlatma,,0,wall-overlay,90,10,hayır,hayır (kullanıcı atamaz),hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: VIDEO_WALL_2X2.,project.modules[] factory state + placement,createTvModule,true,wall-media,docs/items/definitions/VIDEO_WALL_2X2.md,true,BOM hata
VIDEO_WALL_3X3,Video Wall 3×3,tv,WALL_MEDIA_ITEMS,true,Elektronik & Aydınlatma,,0,wall-overlay,90,10,hayır,hayır (kullanıcı atamaz),hayır,hayır,hayır,color=false image=false glass=false lightbox=false mesh=false,false,Missing canonical unit for leaf Item: VIDEO_WALL_3X3.,project.modules[] factory state + placement,createTvModule,true,wall-media,docs/items/definitions/VIDEO_WALL_3X3.md,true,BOM hata
